ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
VzOqLarf;4616;Exact location;;50.4188,31;;https://kadastr.live/parcel/3220886700:07:004:0283;"Cadastral number 3220886700:07:004:0283
area 20.3685 ha"
4_m89KlL;4616;Exact location;;50.41241,31.00176;;https://kadastr.live/parcel/3220886700:07:003:1353;"Cadastral number 3220886700:07:003:1353 
area 12.6881 ha"
Uv-mcOlA;4616;Exact location;;50.46313,31.09638;;https://kadastr.live/parcel/3220886700:10:001:1269;"Cadastral number 3220886700:10:001:1269 
area 35.0001 ha"
fcfviOPU;4616;Exact location;;50.20268,31.06949;;https://kadastr.live/parcel/3220886400:04:008:0143;"Cadastral number 3220886400:04:008:0143 
area 12.2246 ha"
UwMPANPh;4618;Exact location;Koryukivka, Chernihivs'ka oblast, Ukraine;51.77548,32.25958;;;
JG17hDxK;4618;Exact location;Naumivka, Chernihivs'ka oblast, Ukraine;51.83732,32.19239;;;
SgkRHnP4;4624;Administrative region;Atbara, Sudan;17.69722,33.97833;;;"River Nile state, 300 km north of Khartoum
near Atbara town"
8ZAj9oTP;4625;Administrative region;Omdurman, Sudan;15.64758,32.48069;;;Located along the River Nile some 10 km to the south east of Khartoum. Another source states the project is located in Omdurman Town in the Eastern Nile Area, 25 km South of Khartoum.
-P2tfEHH;4627;Exact location;AfricaJUICE, Doni, Ethiopia;8.51585,39.56819;;;Aware Melka (876 ha) Located on the upper course of the Awash River.174 km away from Addis Ababa along Awash River. Consists of three farms (Degaga, Membere Hiwot and Tefiste Genet) totaling over 1,600 hectares of land. 
Xegk3aLO;4629;Coordinates;Amhara, Ethiopia;10.60662,37.17285;Upper Bir Farm;Amhara Region (Western Gojam). Bir is 400km from Addis Ababa.;Polygon uploaded from Google Earth Pro
f5MiZQJf;4632;Administrative region;Gemadro, Ethiopia;7.83321,35.47811;Duyina Coffee Farm;648 km from capital city, Addis Ababa and About 30 km North West of Gemadro, Southern Nations, Nationalities and Peoples Region. The farm is located in the Masha zone, west of the town of Jimma and only 100km east from the border with Sudan.;The farm is  located in the  South of Addis Ababa in the SNNP region
t2ni_2Ke;4633;Exact location;Ayehu Coffee Farm, Ethiopia;10.7111,36.78474;Ayehu Coffee Farm;;located in the Awi Zone, Western Gojam, Amhara Region about 500 kms from Addis Ababa.
BS6s52DQ;4634;Administrative region;Southern Nations, Nationalities, and People's Region, Ethiopia;6.51569,36.95411; Beha Land Coffee Farm;;
oiVk14ns;4714;Administrative region;Mpande, Zambia;-9.39399,31.67575;;;The land is located in the village of Mpande, near Chibale.
HibZDlCz;4727;Exact location;Amatheon Agri Zambia Katonga Farm, Zambia;-14.76123,26.97997;Katonga Farm ;;Located in the Mumbwa District, Central State, Zambia
l3alMx9b;4734;Coordinates;Katanga, Democratic Republic of the Congo;-11.080941,27.131686;;;"90 km from Lubumbashi on Likasi Road
Area in operation shapefile uploaded from Google Earth Pro."
5PP5Er4q;4741;Administrative region;Monapo, Mozambique;-14.91501,40.32928;;;Nearby community of Vida Nova, Monapo District.
boriSjMA;4743;Administrative region;Natuto, Mozambique;-17.12028,38.52639;;;Near the village of Natuto in the Malema District of Nampula Province. 
2vbCKzJi;4745;Coordinates;Nwoya, Uganda;2.592054,31.729925;;Farm entrance coordinates;"Located in Nwoya District, Uganda.
Our farming operations consist of 3 clusters, which are in the same area but not directly connected
"
6pVMhZBV;4745;Coordinates;;2.585822,31.720135;;Farm office coordinates.;
hYE-Ojjk;4746;Administrative region;Gulu, Uganda;2.7724,32.28807;;Located in Gulu District of Northern part of Uganda;
BILVc6TT;4747;Administrative region;Murehwa, Zimbabwe;-17.64517,31.78223;;;
MraJBNBg;4747;Coordinates;Norton, Zimbabwe;-17.818536,30.675791;;;Spatial data derived from the Mapathon 2020.
SYsYWsJL;4757;Coordinates;Ruvuma, Tanzania;-10.7161,35.2528;;;Lipokela village,  Songea Rural District of South West Tanzania
1WN-X-sX;4805;Exact location;Kapuas Murung, Kapuas Regency, Central Kalimantan, Indonesia;-2.8398,114.52749;;Size: 24,000 Ha ;
9u-bVO48;4805;Exact location;South Barito Regency, Central Kalimantan, Indonesia;-1.87594,114.80927;;Size: : 10,270 Ha;
IH1YIDfl;4815;Administrative region;Călărași, Romania;44.20851,27.31374;;;
qOC7YGln;4815;Approximate location;Chirnogi, Румунія;44.11205,26.57045;;;Together with Maria Trading (part of the same holding), the two firms are running 11,000 ha around the Chirnogi village, approximately 70% of its land.
UU4FS5hp;4815;Approximate location;Giurgiu, Romania;43.90371,25.96993;;;
wTO1d35L;4815;Approximate location;Ialomiţa, Romania;44.60313,27.37899;;;
drWPZ8I-;4816;Administrative region;Călărași, Romania;44.20851,27.31374;;;
TBZGVV7Z;4819;Administrative region;Balta Ialomitei, Romania;44.5,28;;;
UgOnxInh;4819;Approximate location;Fetești, Romania;44.36872,27.82856;;;
uykhJ1mz;4819;Approximate location;Borduşani, Romania;44.47813,27.90398;;;
NgyxxVlX;4819;Approximate location;Grădiștea, Romania;44.66191,26.28941;;;
-uBnswp3;4819;Approximate location;Roșiori de Vede, Romania;44.10856,24.99498;;5004 ha of land;
KOyLaiMe;4819;Approximate location;Alexandria, Romania;43.97506,25.32826;;3653 ha of land;
jsHik_wh;4819;Approximate location;Ploiești, Romania;44.93666,26.01286;;2215 ha of land;
L2hAWnjK;4824;Administrative region;Botoșani, Romania;47.74065,26.66581;;;
UApTHE8K;4833;Administrative region;Teleorman County, Romania;44.01605,25.29866;;;
6yoU-jWM;4833;Administrative region;Alexandria, Romania;43.97506,25.32826;;;
ohPjFEkK;4833;Administrative region;Dolj, Romania;44.1623,23.63251;;;
mehJ0Meq;4833;Administrative region;Prahova, Romania;45.08919,26.08293;;;
zKB9Ir_L;4835;Administrative region;Vaslui, Romania;46.64069,27.72765;;;
bIxZC_Mq;4836;Administrative region;Călărași, Romania;44.20851,27.31374;;;
QLDdp4HC;4838;Administrative region;Cioroiași, Romania;44.08786,23.45328;;;
3aYTHGZH;4838;Administrative region;Întorsura, Romania;44.11498,23.57267;;;
K0wKMjyd;4838;Administrative region;Radovan 207485, Romania;44.16096,23.60546;;;
nsPZpOyD;4838;Administrative region;Lipovu, Romania;44.1028,23.62844;;;
6cePwUt5;4839;Administrative region;Balanesti, Romania;46.33333,27.31667;;;
mm-OhKLE;4840;Administrative region;Argeș County, Romania;45.07225,24.81427;;;
1Znzuiz2;4840;Approximate location;Macea, Romania;46.37914,21.3142;;181,48 ha (2010);
Ok6WWHSP;4840;Approximate location;Becicherecu Mic, Romania;45.83454,21.05181;;156,25 ha (2010);
11RHbaOL;4840;Approximate location;Orțișoara, Romania;45.96704,21.19712;;874,33 ha (2010);
TptlfSpg;4840;Approximate location;Dudeștii Noi, Romania;45.83741,21.09679;;38,15 ha (2010);
hOSITvsU;4840;Approximate location;Pișchia, Romania;45.90566,21.34006;;307,12 ha (2010);
g9td6z1n;4841;Administrative region;Arad, Romania;46.18656,21.31227;;;
wqemRW66;4841;Approximate location;Хорія 317407, Румунія;46.20992,21.46139;;;
Vcgp7ULQ;4842;Administrative region;Olt, Romania;43.86136,24.64739;;;
LGs2gsAu;4842;Administrative region;Teleorman County, Romania;44.01605,25.29866;;;
daZo895q;4847;Approximate location;Stelnica, Romania;44.41396,27.8784;;;8,546 hectares in Stelnica (Ialomița county). For 2025 - 7119 ha.
b5zP7Zxo;4847;Approximate location;Borcea, Romania;44.27055,27.7797;;Location of the Pietroiu farm. 876 hectares in Pietroiu (Călărași county), for 2025 - 9516 ha;
MYo-BErv;4848;Approximate location;Jimbolia, Timiș County, România;45.79943,20.71196;;;
Iu29lD3B;4848;Approximate location;Checea, Румыния;45.75392,20.8346;;;
2vpjWUup;4850;Administrative region;Iași, Romania;47.15845,27.60144;;;The company lease approx 4000 hectares in Iosi County
sAW8m-x5;4850;Administrative region;Ботошані, Румунія;47.74065,26.66581;;;
cCmG6zOy;4850;Approximate location;Gropnița, Romania;47.35816,27.26252;;;
_jgHCWkc;4850;Approximate location;Scobinți, Romania;47.39223,26.90637;;;
a3E8Ufj5;4850;Approximate location;Hârlău, Romania;47.42843,26.90912;;;
7V4Wf3CT;4850;Approximate location;Frumuşica, Romania;47.53167,26.90003;;;
7_a5FZ2v;4850;Approximate location;Costeşti, Iași County, Romania;47.23326,26.93162;;;
NyBHfAHk;4850;Approximate location;Cucuteni, Romania;47.27794,26.93679;;;
yuwaD985;4851;Administrative region;Timiș County, Romania;45.81389,21.33311;;;
b-ggcfRt;4853;Administrative region;Călărași, Romania;44.20851,27.31374;;;
f-HYoXnI;4853;Administrative region;Borcea, Romania;44.33204,27.7417;;;
AcJjts-K;4853;Administrative region;Nana, Romania;44.26553,26.59507;;;
27WGvWWn;4854;Administrative region;Călărași, Romania;44.20851,27.31374;;;
4J65PmZT;4855;Administrative region;Vaslui, Romania;46.64069,27.72765;;;
1waxNqe7;4915;Administrative region;Călărași, Romania;44.20851,27.31374;;;
rado5ddM;4918;Administrative region;Neamț County, Romania;46.97587,26.38188;;;
uh85RfBP;4924;Coordinates;Chinhoyi, Zimbabwe;-17.51667,30.25;Hunyani Farm;;120 km north-west of Harare 
78q61yKs;4924;Administrative region;Chinhoyi, Zimbabwe;-17.36527,30.19357;;;Six other farms in the vicinity.
hci2uMxu;4927;Administrative region;Yamoussoukro, Côte d'Ivoire;6.82762,-5.28934;;;"Located to the east of Yamoussoukro in the Bocanda region. 100km from the Yamoussoukrou to Abidjan motorway (25km earth track).

SOLEA has three farming sites. Two sites are located in rural areas in the region of Bocanda, situated in the centre-east of Côte d'Ivoire, and are not very far from each other, each being on one side of the river N'ZI; more specifically, they are in Kotokounou and Akossikro. The third site, is at Goutouké in Bas Sassandra.
"
LUOKz3Yn;4930;Exact location;Yamane, Senegal;16.11216,-16.00614;West Africa Farmer (WAF);WAF is located in the village of Yamane (Saint Louis).;Yamane- location chosen due to availability of water and land. Polygon from fieldwork conducted from May-August 2022. The agricultural plots adjacent to the transaction belong to the population. They have been developed by the company as a counterpart.
Hxyr0qdF;4931;Coordinates;Mbane, Sénégal;16.160851,-15.789778;Swami Agri (ex Senegindia SA);Swami Agri SA (Formely Known as Senegindia SA) Mbane, Richard Toll, Senegal (West Africa);
HFqojepd;4937;Administrative region;Nkhata Bay, Malawi;-11.60856,34.29494;;;Located in the area of Traditional Authority Mankhambira, Nkhata-Bay Malawi.
4AYhsq46;4941;Administrative region;Doba, Ethiopia;9.28585,41.09231;;;100ha farm
pc9Kowlb;4941;Administrative region;Wench'i Hayk', Ethiopia;8.8,37.9;;;100ha farm.  Haro Wenchi, just between Ambo and Woliso
uPa7poWY;4941;Administrative region;Tigray, Ethiopia;14.03233,38.31657;;;30ha
rN5L5NkF;4941;Administrative region;Koga, Ethiopia;12.1654,37.636;;;52ha
otdgggWp;4941;Administrative region;Gurage, Ethiopia;8.18244,38.06315;;;50ha
7suTJ03i;4941;Administrative region;Hadiya, Ethiopia;7.64721,37.72377;;;37ha
3tHoPc6m;4947;Administrative region;Zărand 317415, Romania;46.40882,21.64876;;;
w4v4Kih6;4947;Administrative region;Dobromir, Romania;44.02153,27.78043;;;
ZN-D1qKT;4947;Administrative region;Dolj County, Romania;44.1623,23.63251;;;
vsobeNTi;4960;Administrative region;Novosilky, Kyivs'ka oblast, Ukraine, 09223;49.96749,30.7539;;;
O7R-znZH;4960;Administrative region;Khalcha, Kyivs'ka oblast, Ukraine, 09213;49.94867,30.89983;;;
pfNIWsAQ;4960;Administrative region;Коростенский район, Житомирська область, Україна;50.8643,28.68131;;;Pig farm location
JuxBnsnL;4960;Approximate location;Липовець, Київська область, Україна;49.79386,30.88777;;;
DPpo68KJ;4960;Approximate location;Кузьминці, Київська область, Україна;49.94871,31.00036;;;
PFu_kxoQ;4960;Approximate location;Балико-Щучинка, Київська область, Україна;49.94997,31.13944;;;
vr2Nbdzh;4960;Approximate location;Стрітівка, Київська область, Україна;50.02,30.8885;;;
D9SBE4u6;4960;Approximate location;Кагарлик, Київська область, Україна;49.86206,30.81924;;;
l2AyBVh-;4960;Approximate location;Стави, Київська область, Україна;49.85091,30.67425;;;
VngwFN1U;4960;Approximate location;Зелений Яр, Київська область, Україна;49.80861,30.8569;;;
z3AnxRBW;4960;Exact location;;49.95036,30.96461;;https://kadastr.live/parcel/3222284400:05:309:0009;"Cadastral number 3222284400:05:309:0009 
area 1.27 ha"
7CgYGBXu;4960;Exact location;;49.93852,30.89528;;https://kadastr.live/parcel/3222288600:03:301:0001;"Cadastral number 3222288600:03:301:0001 
area 17.1013 ha"
MYTPp2Ou;4960;Exact location;;49.95751,30.97862;;https://kadastr.live/parcel/3222284400:05:309:0008;"Cadastral number 3222284400:05:309:0008 
area 18.8 ha"
_wQ-F_96;4963;Administrative region;Stanovlyansky District, Lipetsk Oblast, Russia;52.84099,38.25937;;;
J749Zz1K;4963;Administrative region;Uvarovsky District, Tambov Oblast, Russia;51.91178,42.03494;;;
mMVEcksJ;4963;Administrative region;Rylsky District, Kursk Oblast, Russia;51.56196,34.56104;;;
NJxQSzxu;4963;Administrative region;Tulskaya, Moskva, Russia, 115191;55.70868,37.62242;;;
3nEQFeQs;4963;Administrative region;Shatsky District, Ryazan Oblast, Russia;53.9721,41.993;;;
0_fQtj9I;4963;Administrative region;Kurkinsky District, Tula Oblast, Russia;53.52269,38.59915;;;
nIehhzBv;4963;Administrative region;Serdobsk, Penzenskaya oblast', Russia;52.4663,44.21359;;;
YNx-zoV9;4963;Administrative region;Oktyabrsky District, Kursk Oblast, Russia;51.67718,35.83701;;;
X49fA8NO;4963;Administrative region;Novoderevenkovsky District, Oryol Oblast, Russia;53.00408,37.55561;;;
4u-e3gx9;4963;Administrative region;Kursky District, Kursk Oblast, Russia;51.65185,36.38678;;;
UUwglmg1;4963;Administrative region;Solntsevsky District, Kursk Oblast, Russia;51.41955,36.76056;;;
YsyCAjDc;4963;Administrative region;Manturovsky District, Kursk Oblast, Russia;51.41503,37.30266;;;
F8KcYINg;4963;Administrative region;Gorshechensky District, Kursk Oblast, Russia;51.52952,38.04103;;;
T0MjnbPA;4963;Administrative region;Bolshesoldatsky District, Kursk Oblast, Russia;51.35527,35.58539;;;
NPxj7Rj3;4963;Administrative region;Krasninsky District, Lipetsk Oblast, Russia;52.87305,38.70328;;;
9yrGaMvH;4963;Administrative region;Rzhaksinsky District, Tambov Oblast, Russia;52.12522,42.01923;;;
z-WOkTyV;4963;Administrative region;Tokaryovsky District, Tambov Oblast, Russia;51.98508,41.1497;;;
l631FmR8;4963;Administrative region;Mordovsky District, Tambov Oblast, Russia;52.13038,40.80472;;;
0qWjEmdP;4963;Administrative region;Michurinsky District, Tambov Oblast, Russia;52.96821,40.26527;;;
vf3CXgFK;4963;Administrative region;Pervomaysky District, Tambov Oblast, Russia;53.24492,40.34561;;;
2ATHBTBN;4963;Administrative region;Sosnovsky District, Tambov Oblast, Russia;53.17791,41.25982;;;
WikD_WyA;4964;Administrative region;Rostov-on-Don, Rostov Oblast, Russia;47.23571,39.7015;;;
wiolU_4U;4964;Administrative region;Morozovsky District, Ростовська область, Росія;48.38072,41.77338;;;
-Rkw5GUM;4964;Administrative region;Tsimlyansky District, Ростовська область, Росія;47.79776,42.21519;;;
aVR1z-VS;4973;Administrative region;Уссурійськ, Приморський край, Росія;43.8015,131.94049;;;
U688obg5;4973;Administrative region;Михайлівський район, Приморський край, Росія;43.9349,132.00545;;;
42lSd4uq;4973;Administrative region;Ханкайський район, Приморський край, Росія;44.9125,132.02266;;;
XVumg3vz;4973;Administrative region;Пограничний, Приморський край, Росія;44.4084,131.37921;;;
Mm7OZIzZ;4976;Administrative region;Michurinsky District, Tambov Oblast, Russia;52.96821,40.26527;;;"Separate subdivision ""Agro Vista Michurinskoe"" (about 7,500 hectares in operation, among cultivated crops: sugar beet, wheat, malting barley, corn, peas);"
-qD9VwkM;4976;Administrative region;Nikiforovsky District, Tambov Oblast, Russia;52.83354,40.84279;;;"Separate subdivision ""Agro Vista Nikiforovskoe"" (about 12 600 hectares in operation, among cultivated crops: sugar beet, wheat, malting barley, peas, sunflower)"
URD4n1UC;4976;Administrative region;Sosnovsky District, Tambov Oblast, Russia;53.17791,41.25982;;;"Separate subdivision ""Agro Vista Sosnovskoe"" (about 7,500 hectares in operation, among cultivated crops: wheat, corn, peas, sunflower)"
sdBHvdp7;4976;Administrative region;Tambovsky, Tambov Oblast, Russia;52.64166,41.42165;;;"Separate subdivision ""Agro Vista Tambovskoe"" (about 3,800 hectares in operation, among the cultivated crops: wheat, peas, sunflower)."
UZr1dzBt;4982;Coordinates;Ribeiro Gonçalves, Ribeiro Gonçalves - PI, Brazil;-7.659713,-45.111782;Fazenda Parceria II;;
mt_V2WIJ;4983;Coordinates;Porto dos Gaúchos, Mato Grosso, Brasil;-11.640755,-56.261101;Fazenda Perdizes;;
4XWb5yDG;4985;Coordinates;Apolinario Saravia, Salta Province, Argentina;-24.26086,-63.65811;Estancia San Bartolo;;
EHe_C89s;4986;Coordinates;Col. Tatacuá, Corrientes, Argentina;-28.35013,-58.45745;Curupí Porá;;
hZc2_T64;4987;Administrative region;Itapua, Paraguay;-26.79236,-55.66896;;;
XQTeRqdJ;4988;Administrative region;Laguna Blanca, Entre Rios, Argentina;-31.09257,-59.87222;Laguna Blanca;;
j1JEa0vP;5058;Administrative region;State of Tocantins, Brazil;-10.17528,-48.29825;;;
YtepzG4I;5060;Administrative region;Chokwe, Mozambique;-24.53232,32.9832;The Wanbao rice farm ;;The Wanbao rice farm project is located in southern Mozambique's Xai-Xai district.
WossGNHK;5061;Administrative region;Massinga, Mozambique;-23.32666,35.37405;;;Located in Massinga, the city nearest to the farm
O8V3-pRo;5062;Exact location;Mozambique, Mazungaire, LIANHE AFRICA AGRICULTURE DEVELOPMENT CO LIMITADA;-19.9764,34.58174;;;along the BUZI River in Sofala Province, Mozambique
G6i8r1kt;5066;Administrative region;State of Rio Grande do Sul, Brazil;-30.03463,-51.2177;;;
JjZaf5fW;5067;Approximate location;San Francisco de Laishi, Formosa Province, Argentina;-26.14273,-58.80342;Estancia El Ombú;;
WUA9W0hE;5068;Coordinates;Piedritas, Buenos Aires Province, Argentina;-34.80528,-63.08139;Estancia San Carlos;;
jNJHdfxJ;5069;Coordinates;Espartillar, Buenos Aires Province, Argentina;-37.29571,-62.44167;Estancia Las Horquetas;;
FeC4rBzo;5070;Coordinates;Villa Sauce, Buenos Aires, Argentina;-35.21111,-63.32694;Estancia El Meridiano;;
xRPlKfXa;5071;Coordinates;Sancti Spiritu, Santa Fe Province, Argentina;-34.13806,-62.23333;Estancia Abolengo;;
mAjg-40o;5072;Coordinates;Ramayón, Santa Fe, Argentina;-30.65984,-60.56334;Estancia La Rosa;;
hjnnxSvl;5073;Coordinates;Estacion Antonio Pini, Antonio Pini, Santa Fe Province, Argentina;-29.05983,-61.65807;Estancia El Orden;;
L97hZV70;5075;Coordinates;Guardia Escolta, Santiago del Estero, Argentina;-28.99377,-62.01217;Estancia El Colorado;;
qK7uBHNl;5084;Administrative region;Durazno, Uruguay;-33.33967,-56.56461;;;
krICwE_E;5089;Coordinates;Chegutu, Zimbabwe;-18.142039,29.960639;;;Kasama Farm- Located near Chegutu Zimbabwe
FzHC58cX;5089;Administrative region;Chinhoyi, Zimbabwe;-17.36527,30.19357;;;Other two farms
KMXrtaIc;5096;Approximate location;Khatlon Province, Tajikistan;37.91136,69.09702;;;
V1YbGKK7;5133;Administrative region;Kebbi, Nigeria;11.67812,4.06955;Warra Farm;;"Based in Warra(Kebbi state),next to the Kainji reservoir
 Warra, Ngaski Local Government Area of
Kebbi State."
HSJJWIe4;5136;Coordinates;Namakia, Madagascar;-15.915291,45.83968;;;3 factories: Ambilobe, Morondova, Namakia
w0LDr9RM;5137;Coordinates;Ambilobe, Madagascar;-13.085315,48.92049;;Ambilobe Region, Madagascar;"Situated in Ambilobe region, Madagascar.
SUCOMA has a sugar complex located in the plain of Morondava."
5fT31Yz5;5147;Coordinates;Tolloche, Salta Province, Argentina;-25.53263,-63.5657;;;
Kwksqgpu;5285;Exact location;Waku Kungo, Angola;-11.19791,15.03576;;;"Located in Waku Kungo, Angola
Kuanza province, close to Waco Cungo."
fyXLoiW1;5293;Exact location;Makete, Tanzania;-9.20689,34.0639;Ludodolelo Farm;;Mbalatse ward
rJj_h9nr;5297;Administrative region;Colonia Department, Uruguay;-34.26425,-57.61068;;;
SWF_az3V;5304;Coordinates;Arrecifes, Buenos Aires Province, Argentina;-33.91875,-60.08099;Estancia La Esperanza;;
9oEfE6_J;5305;Coordinates;Rivadavia, Buenos Aires, Argentina;-35.28602,-63.05903;Estancia la Chita;;
ZtCFkbdd;5306;Coordinates;Balcarce, Buenos Aires Province, Argentina;-37.70157,-58.58756;Estancia La Morocha;;
aHb08qC7;5371;Approximate location;Білопілля, Сумська область, Україна, 41801;51.1494,34.31752;;;
QiG5-FYg;5371;Approximate location;Вишняки, Полтавська область, Україна, 37860;49.75973,33.3177;;;
jhoAiHf_;5371;Approximate location;Курінька, Полтавская область, Украина;50.21871,32.7424;;;
YP3x120t;5371;Approximate location;Нетратівка, Полтавская область, Украина;50.17556,32.75357;;;
x7Kn2kQS;5371;Approximate location;Луговики, Полтавская область, Украина;50.25874,32.8255;;;
qVV1Va0l;5371;Approximate location;Дзеркалька, Сумская область, Украина;50.94903,33.43245;;;
ppt0rEvy;5371;Approximate location;Чеберяки, Сумская область, Украина;50.5829,33.28086;;;
-b7hRvvL;5371;Approximate location;Біловод, Сумская область, Украина;50.66846,33.45839;;;
0AJu1xW2;5371;Approximate location;Миколаївка, Сумская область, Украина;51.05879,34.66247;;;
cWL2jOFm;5371;Approximate location;Тарасівка, Сумская область, Украина;50.48219,35.29526;;;
r_z9qFFq;5371;Approximate location;Велика Писарівка, Сумская область, Украина;50.42028,35.48126;;;
sVSJLUMN;5371;Approximate location;Майське, Сумская область, Украина;50.66357,35.35021;;;
jv7ZsSTm;5371;Approximate location;Вільшана, Сумская область, Украина;50.81631,34.03169;;;
W98P2JdV;5371;Approximate location;Терни, Сумская область, Украина;50.99236,33.97106;;;
E5zfHj4D;5371;Approximate location;Капустинці, Сумская область, Украина;50.6287,34.15453;;;
XDhsHSLx;5371;Approximate location;Діброва, Сумская область, Украина;50.93829,33.40216;;;
MQRiFAXl;5371;Approximate location;Писарівка, Сумская область, Украина;51.07876,34.81816;;;
0GfUEC6P;5371;Approximate location;Семереньки, Сумская область, Украина;50.54845,35.19366;;;
FDlgTEpB;5371;Approximate location;Печини, Сумская область, Украина;50.53442,35.15734;;;
qfm4RL1s;5371;Approximate location;Калинівка, Сумская область, Украина;50.82319,33.4048;;;
lAwvTSsH;5371;Approximate location;Рябушки, Сумская область, Украина;50.55103,34.6178;;;
IWYnclqb;5371;Approximate location;Глинськ, Сумская область, Украина;50.62028,33.3231;;;
wt6z29Wr;5371;Approximate location;Бережівка, Черниговская область, Украина;50.81476,32.74944;;;
RMRaI1s0;5371;Approximate location;Берізка, Черниговская область, Украина;50.47632,32.85987;;;
rSrL49An;5371;Approximate location;Дащенки, Черниговская область, Украина;50.37629,32.72771;;;
XoijNu_D;5371;Approximate location;Калиновиця, Черниговская область, Украина;50.50138,32.78986;;;
yzczopik;5371;Approximate location;Леляки, Черниговская область, Украина;50.55117,32.72107;;;
RxeqvTth;5371;Approximate location;Озеряни, Черниговская область, Украина;50.50716,32.91339;;;
hz89XyA0;5371;Approximate location;Світличне, Черниговская область, Украина;50.43377,32.72437;;;
sFY85Z4g;5371;Approximate location;Варва, Черниговская область, Украина;50.49627,32.71889;;;
MPtke_sh;5371;Approximate location;Охіньки, Черниговская область, Украина;50.66266,32.71539;;;
yU1A8htl;5371;Approximate location;Васьківці, Черниговская область, Украина;50.74666,32.83608;;;
k8ZS7q4g;5371;Approximate location;Основа, Черниговская область, Украина;50.75474,33.15873;;;
VQNwDZpO;5371;Approximate location;Петьків, Черниговская область, Украина;50.88501,33.01121;;;
lyTNo-Ze;5371;Approximate location;Плугатар, Черниговская область, Украина;50.8545,33.02679;;;
0Sgn3Vh7;5371;Approximate location;Вільшане, Черниговская область, Украина;51.61365,32.36462;;;
H6L8ZbSV;5371;Approximate location;Ніжин, Черниговская область, Украина;51.0378,31.8881;;;
xMFnNLBP;5371;Approximate location;Крути, Черниговская область, Украина;51.05664,32.10237;;;
zRxJMYav;5371;Approximate location;Омбиш, Черниговская область, Украина;51.0547,32.31667;;;
UxN2C4VU;5371;Approximate location;Бурківка, Черниговская область, Украина;51.11591,32.10368;;;
l04QtAqP;5371;Approximate location;Хороше Озеро, Черниговская область, Украина;51.09876,32.24949;;;
EWbBOt_M;5371;Approximate location;Берестовець, Черниговская область, Украина;51.25565,32.21373;;;
Ymla0RvS;5371;Approximate location;Тростянка, Черниговская область, Украина;51.32971,32.67879;;;
V_9a_fko;5371;Approximate location;Високе, Черниговская область, Украина;51.33215,32.55284;;;
0LluRR-C;5371;Approximate location;Галайбине, Черниговская область, Украина;51.38679,32.57988;;;
s9tKxHdI;5371;Approximate location;Дроздівка, Черниговская область, Украина;51.28635,31.63337;;;
aWlN9bmt;5371;Approximate location;Куликівка, Черниговская область, Украина;51.37308,31.64519;;;
sxWIZJ2y;5371;Approximate location;Скитьки, Черниговская область, Украина;51.66379,30.77363;;;
10nLA67z;5371;Approximate location;Степанівка, Черниговская область, Украина;51.34583,32.0912;;;
CIK3TF7I;5377;Administrative region;Poltava, Poltavs'ka oblast, Ukraine;49.58827,34.55142;;;
tRMHX_5H;5377;Administrative region;Sumy, Sums'ka oblast, Ukraine;50.9077,34.7981;;;
zAj43eY8;5377;Administrative region;Mykolaiv, Mykolaivs'ka oblast, Ukraine;46.97503,31.99458;;;
ZldoiuGA;5377;Administrative region;Kherson, Khersons'ka oblast, Ukraine;46.63542,32.61687;;;
oJn2U-mO;5377;Administrative region;Cherkas'ka oblast, Ukraine;49.44443,32.05977;;;
wVGt_fcW;5377;Administrative region;Vinnyts'ka oblast, Ukraine;49.23308,28.46822;;;
__YCQUYi;5378;Administrative region;Poltava, Poltavs'ka oblast, Ukraine;50.35848,33.27163;;;
NNtwyvBG;5378;Administrative region;Sumy, Sums'ka oblast, Ukraine;50.9077,34.7981;;;
PURzad5S;5378;Administrative region;Zaporiz'ka oblast, Ukraine;47.8388,35.13957;;;
2jPwp_bs;5378;Administrative region;Chernivtsi, Chernivets'ka oblast, Ukraine;48.29208,25.93584;;;
MJC6qL9k;5378;Administrative region;Rivne, Rivnens'ka oblast, Ukraine;50.6199,26.25162;;;
PRBe_enU;5378;Approximate location;Уманський район, Черкасская область, Украина;48.64298,30.23495;;;"One of the cadastral numbers - 7124387300:02:000:0932
Size - 2, 9 ha under the extract."
8gGK0U6Z;5378;Approximate location;Теребовлянський район, Тернопольская область, Украина;49.2606,25.54844;;;"One of the cadastral numbers - 7124387300:02:000:0932
Size - 2.818 ha under the extract."
WN6zxdQJ;5378;Approximate location;Тростянец, Сумская область, Украина;50.48106,34.96544;;;"One of the cadastral numbers - 5925081600:00:001:0046
Size - 1.2748 ha under the extract."
FA0daAll;5378;Approximate location;Малий Вистороп, Сумська область, Україна;50.63704,34.79812;;;
uoQ1IjPJ;5379;Exact location;Basivka, Sums'ka oblast, Ukraine, 42312;51.18741,35.07985;;;Cadastral number - 5924780700:04:003:0152  Size - 2 ha. Owner - private. Date of State registration of lease right -  28.05.2020 Monetary valuation - 50090.34 UAH (dated from 07.05.2020).
0W81YXOb;5379;Exact location;Юнаківка, Сумська область, Україна, 42317;51.12055,35.03572;;;Cadastral number - 5924789500:09:006:0091. Size - 14.747 ha. Owner - state. Date of State registration of lease right -  27.06.2019 Monetary valuation - 131626.82 UAH (dated from 27.02.2019).
